"U.S. Census Bureau"
"Source: Monthly Retail Trade and Food Services"
"44312: Computer and Software Stores: U.S. Total"
"Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2012"
"Data Extracted on: March 6, 2016 (9:21 pm)"

Period,Value
Jan-1992,896
Feb-1992,859
Mar-1992,880
Apr-1992,931
May-1992,935
Jun-1992,937
Jul-1992,976
Aug-1992,958
Sep-1992,965
Oct-1992,965
Nov-1992,978
Dec-1992,1042
Jan-1993,1028
Feb-1993,1083
Mar-1993,1082
Apr-1993,1097
May-1993,1096
Jun-1993,1138
Jul-1993,1148
Aug-1993,1182
Sep-1993,1190
Oct-1993,1223
Nov-1993,1250
Dec-1993,1230
Jan-1994,1292
Feb-1994,1319
Mar-1994,1346
Apr-1994,1344
May-1994,1369
Jun-1994,1377
Jul-1994,1445
Aug-1994,1453
Sep-1994,1482
Oct-1994,1527
Nov-1994,1557
Dec-1994,1556
Jan-1995,1582
Feb-1995,1606
Mar-1995,1622
Apr-1995,1598
May-1995,1689
Jun-1995,1734
Jul-1995,1630
Aug-1995,1726
Sep-1995,1745
Oct-1995,1760
Nov-1995,1793
Dec-1995,1885
Jan-1996,1826
Feb-1996,1819
Mar-1996,1862
Apr-1996,1931
May-1996,1915
Jun-1996,1935
Jul-1996,1903
Aug-1996,1933
Sep-1996,1996
Oct-1996,1965
Nov-1996,1863
Dec-1996,1831
Jan-1997,1873
Feb-1997,1933
Mar-1997,1984
Apr-1997,2057
May-1997,2064
Jun-1997,2042
Jul-1997,2115
Aug-1997,2104
Sep-1997,2095
Oct-1997,2111
Nov-1997,2180
Dec-1997,2162
Jan-1998,2147
Feb-1998,2148
Mar-1998,2105
Apr-1998,2051
May-1998,1997
Jun-1998,2100
Jul-1998,2130
Aug-1998,2106
Sep-1998,2097
Oct-1998,2131
Nov-1998,2159
Dec-1998,2125
Jan-1999,2109
Feb-1999,2043
Mar-1999,2048
Apr-1999,2043
May-1999,2054
Jun-1999,2023
Jul-1999,1985
Aug-1999,1949
Sep-1999,1957
Oct-1999,1873
Nov-1999,1869
Dec-1999,1905
Jan-2000,1938
Feb-2000,1895
Mar-2000,1871
Apr-2000,1852
May-2000,1804
Jun-2000,1689
Jul-2000,1668
Aug-2000,1650
Sep-2000,1718
Oct-2000,1591
Nov-2000,1516
Dec-2000,1472
Jan-2001,1472
Feb-2001,1478
Mar-2001,1430
Apr-2001,1409
May-2001,1370
Jun-2001,1375
Jul-2001,1378
Aug-2001,1334
Sep-2001,1316
Oct-2001,1312
Nov-2001,1467
Dec-2001,1473
Jan-2002,1456
Feb-2002,1462
Mar-2002,1483
Apr-2002,1429
May-2002,1472
Jun-2002,1480
Jul-2002,1426
Aug-2002,1463
Sep-2002,1391
Oct-2002,1399
Nov-2002,1390
Dec-2002,1379
Jan-2003,1352
Feb-2003,1361
Mar-2003,1343
Apr-2003,1368
May-2003,1387
Jun-2003,1410
Jul-2003,1406
Aug-2003,1435
Sep-2003,1468
Oct-2003,1455
Nov-2003,1465
Dec-2003,1498
Jan-2004,1488
Feb-2004,1448
Mar-2004,1466
Apr-2004,1478
May-2004,1479
Jun-2004,1494
Jul-2004,1546
Aug-2004,1503
Sep-2004,1553
Oct-2004,1533
Nov-2004,1546
Dec-2004,1493
Jan-2005,1514
Feb-2005,1574
Mar-2005,1608
Apr-2005,1611
May-2005,1610
Jun-2005,1642
Jul-2005,1658
Aug-2005,1643
Sep-2005,1646
Oct-2005,1667
Nov-2005,1589
Dec-2005,1596
Jan-2006,1640
Feb-2006,1613
Mar-2006,1634
Apr-2006,1623
May-2006,1631
Jun-2006,1605
Jul-2006,1581
Aug-2006,1640
Sep-2006,1607
Oct-2006,1533
Nov-2006,1692
Dec-2006,1824
Jan-2007,1720
Feb-2007,1681
Mar-2007,1641
Apr-2007,1663
May-2007,1654
Jun-2007,1642
Jul-2007,1689
Aug-2007,1722
Sep-2007,1739
Oct-2007,1722
Nov-2007,1740
Dec-2007,1786
Jan-2008,1697
Feb-2008,1729
Mar-2008,1745
Apr-2008,1722
May-2008,1729
Jun-2008,1753
Jul-2008,1737
Aug-2008,1713
Sep-2008,1686
Oct-2008,1722
Nov-2008,1673
Dec-2008,1684
Jan-2009,1642
Feb-2009,1650
Mar-2009,1600
Apr-2009,1615
May-2009,1604
Jun-2009,1740
Jul-2009,1664
Aug-2009,1612
Sep-2009,1639
Oct-2009,1566
Nov-2009,1726
Dec-2009,1680
Jan-2010,1774
Feb-2010,1791
Mar-2010,1752
Apr-2010,1864
May-2010,1897
Jun-2010,1994
Jul-2010,2002
Aug-2010,2100
Sep-2010,2068
Oct-2010,2050
Nov-2010,1926
Dec-2010,1983
Jan-2011,1932
Feb-2011,1951
Mar-2011,2052
Apr-2011,2039
May-2011,2097
Jun-2011,2041
Jul-2011,2100
Aug-2011,2092
Sep-2011,2040
Oct-2011,2426
Nov-2011,2278
Dec-2011,2084
Jan-2012,2109
Feb-2012,2124
Mar-2012,2276
Apr-2012,2231
May-2012,2233
Jun-2012,2219
Jul-2012,2230
Aug-2012,2178
Sep-2012,2222
Oct-2012,2191
Nov-2012,2281
Dec-2012,2279
