"U.S. Census Bureau"
"Source: Monthly Retail Trade and Food Services"
"447: Gasoline Stations: U.S. Total"
"Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2012"
"Data Extracted on: March 6, 2016 (9:57 pm)"

Period,Value
Jan-1992,12803
Feb-1992,12601
Mar-1992,12639
Apr-1992,12710
May-1992,12870
Jun-1992,12886
Jul-1992,12966
Aug-1992,13092
Sep-1992,13246
Oct-1992,13304
Nov-1992,13358
Dec-1992,13475
Jan-1993,13398
Feb-1993,13596
Mar-1993,13487
Apr-1993,13539
May-1993,13521
Jun-1993,13461
Jul-1993,13502
Aug-1993,13372
Sep-1993,13416
Oct-1993,13755
Nov-1993,13754
Dec-1993,13627
Jan-1994,13656
Feb-1994,13875
Mar-1994,13911
Apr-1994,13867
May-1994,13773
Jun-1994,14059
Jul-1994,14322
Aug-1994,14685
Sep-1994,14649
Oct-1994,14709
Nov-1994,14878
Dec-1994,14885
Jan-1995,14915
Feb-1995,14963
Mar-1995,14921
Apr-1995,15021
May-1995,15215
Jun-1995,15333
Jul-1995,15249
Aug-1995,15227
Sep-1995,15194
Oct-1995,15007
Nov-1995,14981
Dec-1995,15246
Jan-1996,15479
Feb-1996,15457
Mar-1996,15951
Apr-1996,16252
May-1996,16488
Jun-1996,16352
Jul-1996,16075
Aug-1996,16066
Sep-1996,16088
Oct-1996,16360
Nov-1996,16602
Dec-1996,16759
Jan-1997,16938
Feb-1997,16984
Mar-1997,16969
Apr-1997,16613
May-1997,16367
Jun-1997,16378
Jul-1997,16396
Aug-1997,16682
Sep-1997,16757
Oct-1997,16711
Nov-1997,16638
Dec-1997,16536
Jan-1998,16225
Feb-1998,16054
Mar-1998,15703
Apr-1998,15798
May-1998,16057
Jun-1998,15933
Jul-1998,16087
Aug-1998,15851
Sep-1998,15812
Oct-1998,15948
Nov-1998,16014
Dec-1998,16399
Jan-1999,16394
Feb-1999,16309
Mar-1999,16529
Apr-1999,17115
May-1999,17186
Jun-1999,17070
Jul-1999,17704
Aug-1999,18135
Sep-1999,18339
Oct-1999,18632
Nov-1999,18992
Dec-1999,20095
Jan-2000,19358
Feb-2000,20214
Mar-2000,20819
Apr-2000,19907
May-2000,20242
Jun-2000,20885
Jul-2000,20905
Aug-2000,20574
Sep-2000,21327
Oct-2000,21412
Nov-2000,21906
Dec-2000,22124
Jan-2001,21931
Feb-2001,21615
Mar-2001,20652
Apr-2001,21618
May-2001,22628
Jun-2001,21928
Jul-2001,20686
Aug-2001,20878
Sep-2001,21336
Oct-2001,20033
Nov-2001,19245
Dec-2001,18950
Jan-2002,19130
Feb-2002,19068
Mar-2002,19813
Apr-2002,20856
May-2002,20930
Jun-2002,20733
Jul-2002,21438
Aug-2002,21182
Sep-2002,21272
Oct-2002,21659
Nov-2002,22009
Dec-2002,22464
Jan-2003,23073
Feb-2003,23885
Mar-2003,23968
Apr-2003,22581
May-2003,21810
Jun-2003,21777
Jul-2003,22196
Aug-2003,23073
Sep-2003,23214
Oct-2003,22714
Nov-2003,23472
Dec-2003,23994
Jan-2004,24889
Feb-2004,25256
Mar-2004,25679
Apr-2004,25518
May-2004,27011
Jun-2004,27050
Jul-2004,26745
Aug-2004,26552
Sep-2004,27161
Oct-2004,28656
Nov-2004,29349
Dec-2004,29046
Jan-2005,28438
Feb-2005,29015
Mar-2005,29498
Apr-2005,29979
May-2005,29140
Jun-2005,29889
Jul-2005,31005
Aug-2005,33337
Sep-2005,36008
Oct-2005,36124
Nov-2005,33220
Dec-2005,33119
Jan-2006,34298
Feb-2006,34214
Mar-2006,34126
Apr-2006,35752
May-2006,36126
Jun-2006,36127
Jul-2006,37030
Aug-2006,37731
Sep-2006,34900
Oct-2006,33076
Nov-2006,33357
Dec-2006,34895
Jan-2007,34130
Feb-2007,34973
Mar-2007,35963
Apr-2007,36314
May-2007,38031
Jun-2007,37275
Jul-2007,36996
Aug-2007,37155
Sep-2007,38327
Oct-2007,39425
Nov-2007,41897
Dec-2007,41593
Jan-2008,42378
Feb-2008,42505
Mar-2008,43093
Apr-2008,42938
May-2008,44311
Jun-2008,46513
Jul-2008,46865
Aug-2008,45783
Sep-2008,45744
Oct-2008,40637
Nov-2008,31922
Dec-2008,27923
Jan-2009,28767
Feb-2009,29943
Mar-2009,28808
Apr-2009,28759
May-2009,30531
Jun-2009,33330
Jul-2009,33024
Aug-2009,34777
Sep-2009,34896
Oct-2009,34949
Nov-2009,36607
Dec-2009,37182
Jan-2010,37360
Feb-2010,37038
Mar-2010,37132
Apr-2010,37155
May-2010,36650
Jun-2010,35849
Jul-2010,35799
Aug-2010,36252
Sep-2010,37376
Oct-2010,38567
Nov-2010,39270
Dec-2010,41132
Jan-2011,41651
Feb-2011,42240
Mar-2011,43629
Apr-2011,44523
May-2011,45252
Jun-2011,44602
Jul-2011,44773
Aug-2011,45052
Sep-2011,44976
Oct-2011,44745
Nov-2011,45669
Dec-2011,45055
Jan-2012,45570
Feb-2012,46990
Mar-2012,47239
Apr-2012,46768
May-2012,45898
Jun-2012,43873
Jul-2012,43603
Aug-2012,46491
Sep-2012,47193
Oct-2012,48087
Nov-2012,46915
Dec-2012,45858
