"U.S. Census Bureau"
"Source: New Home Sales"
"New Single-family Houses For Sale: United States"
"Seasonally Adjusted All Houses [Thousands of Units]"
"Period: 1963 to 2013"
"Data Extracted on: March 6, 2016 (9:30 pm)"

Period,Value
Jan-1963,235
Feb-1963,238
Mar-1963,242
Apr-1963,246
May-1963,248
Jun-1963,253
Jul-1963,254
Aug-1963,264
Sep-1963,257
Oct-1963,274
Nov-1963,258
Dec-1963,264
Jan-1964,261
Feb-1964,262
Mar-1964,263
Apr-1964,260
May-1964,266
Jun-1964,264
Jul-1964,263
Aug-1964,258
Sep-1964,256
Oct-1964,253
Nov-1964,249
Dec-1964,250
Jan-1965,248
Feb-1965,251
Mar-1965,243
Apr-1965,242
May-1965,238
Jun-1965,235
Jul-1965,235
Aug-1965,232
Sep-1965,231
Oct-1965,227
Nov-1965,231
Dec-1965,226
Jan-1966,228
Feb-1966,224
Mar-1966,225
Apr-1966,221
May-1966,216
Jun-1966,214
Jul-1966,210
Aug-1966,208
Sep-1966,208
Oct-1966,199
Nov-1966,193
Dec-1966,194
Jan-1967,193
Feb-1967,194
Mar-1967,191
Apr-1967,187
May-1967,187
Jun-1967,189
Jul-1967,184
Aug-1967,181
Sep-1967,184
Oct-1967,188
Nov-1967,186
Dec-1967,187
Jan-1968,189
Feb-1968,191
Mar-1968,192
Apr-1968,198
May-1968,199
Jun-1968,201
Jul-1968,203
Aug-1968,206
Sep-1968,208
Oct-1968,211
Nov-1968,214
Dec-1968,213
Jan-1969,215
Feb-1969,215
Mar-1969,216
Apr-1969,218
May-1969,221
Jun-1969,223
Jul-1969,224
Aug-1969,223
Sep-1969,224
Oct-1969,227
Nov-1969,222
Dec-1969,222
Jan-1970,213
Feb-1970,215
Mar-1970,217
Apr-1970,217
May-1970,217
Jun-1970,217
Jul-1970,220
Aug-1970,218
Sep-1970,218
Oct-1970,216
Nov-1970,212
Dec-1970,220
Jan-1971,220
Feb-1971,218
Mar-1971,224
Apr-1971,229
May-1971,236
Jun-1971,245
Jul-1971,248
Aug-1971,254
Sep-1971,263
Oct-1971,270
Nov-1971,278
Dec-1971,287
Jan-1972,296
Feb-1972,306
Mar-1972,318
Apr-1972,325
May-1972,338
Jun-1972,354
Jul-1972,360
Aug-1972,375
Sep-1972,382
Oct-1972,392
Nov-1972,400
Dec-1972,409
Jan-1973,414
Feb-1973,417
Mar-1973,415
Apr-1973,417
May-1973,417
Jun-1973,421
Jul-1973,429
Aug-1973,432
Sep-1973,428
Oct-1973,423
Nov-1973,417
Dec-1973,418
Jan-1974,414
Feb-1974,420
Mar-1974,410
Apr-1974,407
May-1974,399
Jun-1974,392
Jul-1974,380
Aug-1974,373
Sep-1974,362
Oct-1974,356
Nov-1974,350
Dec-1974,346
Jan-1975,347
Feb-1975,351
Mar-1975,337
Apr-1975,329
May-1975,323
Jun-1975,320
Jul-1975,319
Aug-1975,319
Sep-1975,319
Oct-1975,324
Nov-1975,316
Dec-1975,313
Jan-1976,312
Feb-1976,308
Mar-1976,320
Apr-1976,322
May-1976,331
Jun-1976,335
Jul-1976,338
Aug-1976,336
Sep-1976,340
Oct-1976,344
Nov-1976,349
Dec-1976,353
Jan-1977,354
Feb-1977,357
Mar-1977,359
Apr-1977,362
May-1977,364
Jun-1977,368
Jul-1977,375
Aug-1977,387
Sep-1977,388
Oct-1977,396
Nov-1977,400
Dec-1977,402
Jan-1978,404
Feb-1978,404
Mar-1978,404
Apr-1978,409
May-1978,413
Jun-1978,419
Jul-1978,419
Aug-1978,418
Sep-1978,416
Oct-1978,407
Nov-1978,414
Dec-1978,414
Jan-1979,411
Feb-1979,408
Mar-1979,421
Apr-1979,421
May-1979,428
Jun-1979,420
Jul-1979,420
Aug-1979,419
Sep-1979,413
Oct-1979,408
Nov-1979,400
Dec-1979,397
Jan-1980,392
Feb-1980,380
Mar-1980,376
Apr-1980,362
May-1980,350
Jun-1980,343
Jul-1980,337
Aug-1980,332
Sep-1980,336
Oct-1980,336
Nov-1980,339
Dec-1980,337
Jan-1981,334
Feb-1981,336
Mar-1981,328
Apr-1981,329
May-1981,325
Jun-1981,317
Jul-1981,312
Aug-1981,308
Sep-1981,304
Oct-1981,293
Nov-1981,282
Dec-1981,275
Jan-1982,276
Feb-1982,273
Mar-1982,268
Apr-1982,264
May-1982,258
Jun-1982,252
Jul-1982,249
Aug-1982,247
Sep-1982,247
Oct-1982,246
Nov-1982,247
Dec-1982,253
Jan-1983,259
Feb-1983,261
Mar-1983,262
Apr-1983,265
May-1983,273
Jun-1983,282
Jul-1983,288
Aug-1983,295
Sep-1983,299
Oct-1983,300
Nov-1983,307
Dec-1983,301
Jan-1984,302
Feb-1984,301
Mar-1984,321
Apr-1984,327
May-1984,334
Jun-1984,339
Jul-1984,340
Aug-1984,344
Sep-1984,342
Oct-1984,345
Nov-1984,350
Dec-1984,353
Jan-1985,355
Feb-1985,358
Mar-1985,356
Apr-1985,357
May-1985,358
Jun-1985,354
Jul-1985,351
Aug-1985,348
Sep-1985,349
Oct-1985,353
Nov-1985,353
Dec-1985,346
Jan-1986,352
Feb-1986,351
Mar-1986,336
Apr-1986,336
May-1986,337
Jun-1986,340
Jul-1986,349
Aug-1986,350
Sep-1986,354
Oct-1986,357
Nov-1986,354
Dec-1986,357
Jan-1987,356
Feb-1987,357
Mar-1987,358
Apr-1987,358
May-1987,353
Jun-1987,358
Jul-1987,360
Aug-1987,362
Sep-1987,362
Oct-1987,361
Nov-1987,363
Dec-1987,366
Jan-1988,367
Feb-1988,357
Mar-1988,372
Apr-1988,365
May-1988,367
Jun-1988,365
Jul-1988,365
Aug-1988,365
Sep-1988,363
Oct-1988,355
Nov-1988,366
Dec-1988,368
Jan-1989,369
Feb-1989,373
Mar-1989,375
Apr-1989,376
May-1989,377
Jun-1989,375
Jul-1989,369
Aug-1989,364
Sep-1989,366
Oct-1989,365
Nov-1989,365
Dec-1989,365
Jan-1990,365
Feb-1990,365
Mar-1990,362
Apr-1990,362
May-1990,358
Jun-1990,353
Jul-1990,350
Aug-1990,344
Sep-1990,339
Oct-1990,335
Nov-1990,328
Dec-1990,321
Jan-1991,315
Feb-1991,314
Mar-1991,308
Apr-1991,302
May-1991,298
Jun-1991,295
Jul-1991,294
Aug-1991,291
Sep-1991,291
Oct-1991,289
Nov-1991,287
Dec-1991,284
Jan-1992,281
Feb-1992,269
Mar-1992,279
Apr-1992,274
May-1992,273
Jun-1992,273
Jul-1992,271
Aug-1992,269
Sep-1992,265
Oct-1992,264
Nov-1992,262
Dec-1992,265
Jan-1993,266
Feb-1993,267
Mar-1993,270
Apr-1993,272
May-1993,275
Jun-1993,275
Jul-1993,278
Aug-1993,286
Sep-1993,287
Oct-1993,290
Nov-1993,293
Dec-1993,293
Jan-1994,294
Feb-1994,295
Mar-1994,298
Apr-1994,297
May-1994,302
Jun-1994,315
Jul-1994,319
Aug-1994,323
Sep-1994,331
Oct-1994,330
Nov-1994,333
Dec-1994,336
Jan-1995,341
Feb-1995,346
Mar-1995,346
Apr-1995,348
May-1995,349
Jun-1995,348
Jul-1995,344
Aug-1995,350
Sep-1995,353
Oct-1995,359
Nov-1995,366
Dec-1995,370
Jan-1996,369
Feb-1996,355
Mar-1996,368
Apr-1996,368
May-1996,361
Jun-1996,355
Jul-1996,350
Aug-1996,342
Sep-1996,330
Oct-1996,328
Nov-1996,330
Dec-1996,322
Jan-1997,308
Feb-1997,301
Mar-1997,288
Apr-1997,290
May-1997,287
Jun-1997,288
Jul-1997,289
Aug-1997,287
Sep-1997,284
Oct-1997,284
Nov-1997,281
Dec-1997,281
Jan-1998,282
Feb-1998,281
Mar-1998,284
Apr-1998,287
May-1998,287
Jun-1998,286
Jul-1998,285
Aug-1998,286
Sep-1998,289
Oct-1998,293
Nov-1998,292
Dec-1998,294
Jan-1999,284
Feb-1999,285
Mar-1999,289
Apr-1999,290
May-1999,295
Jun-1999,295
Jul-1999,297
Aug-1999,298
Sep-1999,301
Oct-1999,303
Nov-1999,305
Dec-1999,308
Jan-2000,311
Feb-2000,299
Mar-2000,313
Apr-2000,305
May-2000,305
Jun-2000,306
Jul-2000,303
Aug-2000,302
Sep-2000,300
Oct-2000,301
Nov-2000,305
Dec-2000,298
Jan-2001,296
Feb-2001,296
Mar-2001,292
Apr-2001,294
May-2001,295
Jun-2001,301
Jul-2001,305
Aug-2001,308
Sep-2001,310
Oct-2001,308
Nov-2001,308
Dec-2001,308
Jan-2002,310
Feb-2002,313
Mar-2002,316
Apr-2002,324
May-2002,327
Jun-2002,328
Jul-2002,333
Aug-2002,334
Sep-2002,333
Oct-2002,335
Nov-2002,338
Dec-2002,339
Jan-2003,341
Feb-2003,341
Mar-2003,338
Apr-2003,340
May-2003,343
Jun-2003,343
Jul-2003,342
Aug-2003,346
Sep-2003,350
Oct-2003,361
Nov-2003,366
Dec-2003,370
Jan-2004,374
Feb-2004,372
Mar-2004,381
Apr-2004,383
May-2004,383
Jun-2004,383
Jul-2004,400
Aug-2004,405
Sep-2004,410
Oct-2004,413
Nov-2004,418
Dec-2004,422
Jan-2005,441
Feb-2005,446
Mar-2005,445
Apr-2005,445
May-2005,450
Jun-2005,455
Jul-2005,464
Aug-2005,476
Sep-2005,487
Oct-2005,490
Nov-2005,502
Dec-2005,511
Jan-2006,523
Feb-2006,539
Mar-2006,552
Apr-2006,565
May-2006,565
Jun-2006,566
Jul-2006,572
Aug-2006,566
Sep-2006,559
Oct-2006,554
Nov-2006,543
Dec-2006,536
Jan-2007,538
Feb-2007,544
Mar-2007,545
Apr-2007,548
May-2007,545
Jun-2007,542
Jul-2007,537
Aug-2007,533
Sep-2007,527
Oct-2007,514
Nov-2007,503
Dec-2007,497
Jan-2008,487
Feb-2008,477
Mar-2008,470
Apr-2008,458
May-2008,451
Jun-2008,435
Jul-2008,419
Aug-2008,409
Sep-2008,395
Oct-2008,381
Nov-2008,371
Dec-2008,353
Jan-2009,341
Feb-2009,326
Mar-2009,311
Apr-2009,300
May-2009,291
Jun-2009,280
Jul-2009,270
Aug-2009,261
Sep-2009,252
Oct-2009,243
Nov-2009,237
Dec-2009,234
Jan-2010,233
Feb-2010,231
Mar-2010,227
Apr-2010,217
May-2010,216
Jun-2010,212
Jul-2010,209
Aug-2010,206
Sep-2010,201
Oct-2010,199
Nov-2010,195
Dec-2010,190
Jan-2011,187
Feb-2011,183
Mar-2011,179
Apr-2011,173
May-2011,168
Jun-2011,166
Jul-2011,166
Aug-2011,162
Sep-2011,160
Oct-2011,158
Nov-2011,155
Dec-2011,151
Jan-2012,149
Feb-2012,147
Mar-2012,145
Apr-2012,144
May-2012,144
Jun-2012,145
Jul-2012,142
Aug-2012,143
Sep-2012,144
Oct-2012,147
Nov-2012,150
Dec-2012,150
Jan-2013,149
Feb-2013,153
Mar-2013,154
Apr-2013,161
May-2013,162
Jun-2013,160
Jul-2013,170
Aug-2013,174
Sep-2013,183
Oct-2013,183
Nov-2013,184
Dec-2013,187
